Day of the Week,Start Time,End Time,Open Time,Close Time,Price Open,Price Close,Price High,Price Low,Volume Traded,Trade Count
Monday,2022-05-30 10:00:00+00:00,2022-05-30T11:00:00.0000000Z,2022-05-30T10:15:02.1210000Z,2022-05-30T10:48:51.7060000Z,0.00016081,0.00014932,0.00016081,0.0001476,40873160.2422,16
Monday,2022-05-30 11:00:00+00:00,2022-05-30T12:00:00.0000000Z,2022-05-30T11:22:36.7440000Z,2022-05-30T11:50:40.8130000Z,0.00015195,0.000142,0.00015195,0.000142,1425104.6607,6
Monday,2022-05-30 12:00:00+00:00,2022-05-30T13:00:00.0000000Z,2022-05-30T12:00:34.4260000Z,2022-05-30T12:37:32.5090000Z,0.00013497,0.00014237,0.00014552,0.00013497,30174628.217,10
Monday,2022-05-30 13:00:00+00:00,2022-05-30T14:00:00.0000000Z,2022-05-30T13:01:55.5080000Z,2022-05-30T13:32:48.4640000Z,0.00014033,0.00013522,0.00014033,0.00013522,12050257.3351,7
Monday,2022-05-30 14:00:00+00:00,2022-05-30T15:00:00.0000000Z,2022-05-30T14:02:30.2880000Z,2022-05-30T14:58:54.9310000Z,0.00014202,0.00014347,0.00014501,0.00013999,27658821.5993,12
Monday,2022-05-30 15:00:00+00:00,2022-05-30T16:00:00.0000000Z,2022-05-30T15:04:02.7750000Z,2022-05-30T15:59:23.0510000Z,0.00014152,0.00014078,0.00014193,0.00013796,6046304.7508,13
Monday,2022-05-30 16:00:00+00:00,2022-05-30T17:00:00.0000000Z,2022-05-30T16:16:57.1030000Z,2022-05-30T16:59:40.8270000Z,0.00013923,0.00013422,0.00014087,0.00013006,145271651.0597,19
Monday,2022-05-30 17:00:00+00:00,2022-05-30T18:00:00.0000000Z,2022-05-30T17:30:51.6530000Z,2022-05-30T17:39:37.2880000Z,0.00013692,0.0001361,0.00013692,0.0001361,32963362.6481,5
Monday,2022-05-30 18:00:00+00:00,2022-05-30T19:00:00.0000000Z,2022-05-30T18:22:09.9010000Z,2022-05-30T18:47:22.3410000Z,0.00013927,0.00013883,0.00013927,0.00013724,4052786.109,6
Monday,2022-05-30 19:00:00+00:00,2022-05-30T20:00:00.0000000Z,2022-05-30T19:43:55.5000000Z,2022-05-30T19:59:24.3970000Z,0.00013732,0.00013656,0.00013732,0.00013656,1124609.4595,2
Monday,2022-05-30 20:00:00+00:00,2022-05-30T21:00:00.0000000Z,2022-05-30T20:04:41.6460000Z,2022-05-30T20:46:42.4540000Z,0.0001361,0.00013025,0.0001361,0.00013025,39978565.9366,10
Monday,2022-05-30 21:00:00+00:00,2022-05-30T22:00:00.0000000Z,2022-05-30T21:14:20.9040000Z,2022-05-30T21:37:54.2620000Z,0.0001292,0.00012681,0.00013062,0.00011978,73290352.0921,17
Monday,2022-05-30 22:00:00+00:00,2022-05-30T23:00:00.0000000Z,2022-05-30T22:23:35.6220000Z,2022-05-30T22:52:55.5260000Z,0.00013651,0.00012681,0.00013651,0.00012681,15489984.6507,5
Monday,2022-05-30 23:00:00+00:00,2022-05-31T00:00:00.0000000Z,2022-05-30T23:01:20.5060000Z,2022-05-30T23:50:24.7190000Z,0.00012627,0.00012665,0.00012665,0.00012429,28667288.0484,6
Tuesday,2022-05-31 00:00:00+00:00,2022-05-31T01:00:00.0000000Z,2022-05-31T00:39:42.5980000Z,2022-05-31T00:59:29.9650000Z,0.00012025,0.00012,0.00012025,0.00012,91666.6668,2
Tuesday,2022-05-31 01:00:00+00:00,2022-05-31T02:00:00.0000000Z,2022-05-31T01:25:48.2380000Z,2022-05-31T01:58:39.6650000Z,0.00012097,0.0001169,0.00012203,0.0001169,4891329.8992,7
Tuesday,2022-05-31 02:00:00+00:00,2022-05-31T03:00:00.0000000Z,2022-05-31T02:25:40.6860000Z,2022-05-31T02:54:50.7670000Z,0.00012225,0.00013118,0.00013421,0.00012225,14683920.5425,6
Tuesday,2022-05-31 03:00:00+00:00,2022-05-31T04:00:00.0000000Z,2022-05-31T03:00:47.7500000Z,2022-05-31T03:37:43.1760000Z,0.0001296,0.00012845,0.0001296,0.00012793,12371225.1111,5
Tuesday,2022-05-31 04:00:00+00:00,2022-05-31T05:00:00.0000000Z,2022-05-31T04:00:11.5420000Z,2022-05-31T04:57:04.7690000Z,0.000129,0.00012374,0.00013038,0.00012374,25291484.3976,9
Tuesday,2022-05-31 05:00:00+00:00,2022-05-31T06:00:00.0000000Z,2022-05-31T05:04:10.2310000Z,2022-05-31T05:56:21.3740000Z,0.00012347,0.00011646,0.00012348,0.00011646,48639925.4235,16
